id,navn,stemmeseddel_navn,parti,storkreds,opstillingskredse
abffa718-b6ee-4c0b-b62a-a70630e7eb2e,Ditte Enøe Keidser,Ditte Keidser,Konservative,Sjælland,"['Lolland', 'Faxe', 'Roskilde', 'Slagelse', 'Køge', 'Næstved', 'Greve', 'Kalundborg', 'Holbæk', 'Ringsted', 'Guldborgsund', 'Vordingborg']"
af4a0617-f6b3-415f-9e0d-c971ba0cab04,Vilhelm David Møller,Vilhelm Møller,Konservative,Sjælland,"['Kalundborg', 'Faxe', 'Vordingborg', 'Køge', 'Greve', 'Slagelse', 'Næstved', 'Ringsted', 'Holbæk', 'Guldborgsund', 'Lolland', 'Roskilde']"
eae11395-1cc3-4d63-b797-ee7453f32f4d,Victoria Helene Olsen,Victoria Helene Olsen,Konservative,Sjælland,"['Roskilde', 'Vordingborg', 'Slagelse', 'Faxe', 'Guldborgsund', 'Kalundborg', 'Holbæk', 'Køge', 'Ringsted', 'Greve', 'Lolland', 'Næstved']"
f59ad3ab-6fb2-4963-a673-f575dfc41c97,Silas Sami Mustafovski Ipsen,Silas Ipsen,Konservative,Sjælland,"['Ringsted', 'Slagelse', 'Køge', 'Næstved', 'Guldborgsund', 'Lolland', 'Vordingborg', 'Kalundborg', 'Faxe', 'Greve', 'Holbæk', 'Roskilde']"
05defda8-15f4-40aa-9e86-01b61ac484a3,Pia Olsen Dyhr,Pia Olsen Dyhr,SF,Sjælland,"['Guldborgsund', 'Næstved', 'Køge', 'Greve', 'Slagelse', 'Lolland', 'Kalundborg', 'Ringsted', 'Roskilde', 'Vordingborg', 'Holbæk', 'Faxe']"
07b68ace-21e5-47a7-b60d-586432b98997,Kristine Amalie Rigmor Rostgård,Kristine Amalie Rostgård,SF,Sjælland,"['Slagelse', 'Køge', 'Lolland', 'Ringsted', 'Næstved', 'Guldborgsund', 'Faxe', 'Roskilde', 'Holbæk', 'Kalundborg', 'Greve', 'Vordingborg']"
4b360d2f-e94d-4585-a697-cab454cb856a,Martin Graff Jørgensen,Martin Graff Jørgensen,SF,Sjælland,"['Ringsted', 'Roskilde', 'Faxe', 'Guldborgsund', 'Næstved', 'Slagelse', 'Holbæk', 'Vordingborg', 'Lolland', 'Kalundborg', 'Køge', 'Greve']"
4b66e2cb-1d23-4487-9474-636f3b339e37,Jesper Stevns Hartøft Skajem,Jesper Hartøft,SF,Sjælland,"['Slagelse', 'Roskilde', 'Holbæk', 'Greve', 'Køge', 'Vordingborg', 'Faxe', 'Ringsted', 'Kalundborg', 'Næstved', 'Guldborgsund', 'Lolland']"
7ad2a8b9-1acb-4a4c-93d3-eb6d2bde4810,Astrid Thorell Carøe,Astrid Carøe,SF,Sjælland,"['Guldborgsund', 'Holbæk', 'Slagelse', 'Vordingborg', 'Ringsted', 'Lolland', 'Køge', 'Næstved', 'Roskilde', 'Faxe', 'Kalundborg', 'Greve']"
840e1d22-560e-4ee4-9794-db4a2a600aad,Michael Graakjær,Michael Graakjær,SF,Sjælland,"['Greve', 'Køge', 'Ringsted', 'Kalundborg', 'Holbæk', 'Vordingborg', 'Lolland', 'Næstved', 'Slagelse', 'Roskilde', 'Faxe', 'Guldborgsund']"
86726eef-b692-4c6d-98a0-66b494e6273b,Joan Gerti Lerche Kragh,Joan Kragh,SF,Sjælland,"['Kalundborg', 'Lolland', 'Greve', 'Slagelse', 'Roskilde', 'Ringsted', 'Næstved', 'Holbæk', 'Køge', 'Guldborgsund', 'Vordingborg', 'Faxe']"
9c6a4234-f97b-4e15-a53c-9e19dd6d72ab,Mads Bruun Buch Olsen,Mads Olsen,SF,Sjælland,"['Lolland', 'Slagelse', 'Faxe', 'Greve', 'Vordingborg', 'Kalundborg', 'Køge', 'Ringsted', 'Guldborgsund', 'Holbæk', 'Næstved', 'Roskilde']"
bd68e702-c3d1-4b78-a363-4094501d6f55,Anne Valentina Berthelsen,Anne Valentina Berthelsen,SF,Sjælland,"['Kalundborg', 'Roskilde', 'Ringsted', 'Faxe', 'Køge', 'Lolland', 'Greve', 'Slagelse', 'Næstved', 'Guldborgsund', 'Vordingborg', 'Holbæk']"
e42afd87-0cae-4233-8c85-1d84c004b4db,Claus Jørgensen,Claus Jørgensen,SF,Sjælland,"['Greve', 'Køge', 'Vordingborg', 'Holbæk', 'Faxe', 'Guldborgsund', 'Næstved', 'Roskilde', 'Ringsted', 'Kalundborg', 'Slagelse', 'Lolland']"
ea02adcb-3fec-4d78-9b92-67757d805a21,Ali Yahya,Ali Yahya,SF,Sjælland,"['Faxe', 'Køge', 'Næstved', 'Kalundborg', 'Ringsted', 'Holbæk', 'Slagelse', 'Greve', 'Roskilde', 'Vordingborg', 'Lolland', 'Guldborgsund']"
eaef123e-2cc4-4ef8-bca7-ff3cd42e2021,Jeanne Bergmansen,Jeanne Bergmansen,SF,Sjælland,"['Slagelse', 'Kalundborg', 'Guldborgsund', 'Holbæk', 'Vordingborg', 'Lolland', 'Ringsted', 'Greve', 'Næstved', 'Roskilde', 'Faxe', 'Køge']"
03561610-21cc-4e68-b8a9-6cafa410c5b5,Jacob Harris Nielsen,Jacob Harris,Borgernes Parti,Sjælland,"['Roskilde', 'Slagelse', 'Næstved', 'Lolland', 'Holbæk', 'Guldborgsund', 'Greve', 'Ringsted', 'Vordingborg', 'Kalundborg', 'Faxe', 'Køge']"
7e83f86d-0a24-473c-8612-98b796ac6884,Sanne Pilgaard,Sanne Pilgaard,Borgernes Parti,Sjælland,"['Guldborgsund', 'Faxe', 'Køge', 'Kalundborg', 'Roskilde', 'Greve', 'Slagelse', 'Vordingborg', 'Næstved', 'Ringsted', 'Lolland', 'Holbæk']"
c67828c4-11a1-455f-b501-f603d49d0671,John Bo Hansen,John Bo Hansen,Borgernes Parti,Sjælland,"['Køge', 'Greve', 'Kalundborg', 'Guldborgsund', 'Næstved', 'Lolland', 'Vordingborg', 'Holbæk', 'Slagelse', 'Faxe', 'Roskilde', 'Ringsted']"
da7a9a6d-1740-4d07-8c84-e8223fe60806,Tim Larsen,Tim Larsen,Borgernes Parti,Sjælland,"['Lolland', 'Kalundborg', 'Køge', 'Greve', 'Næstved', 'Vordingborg', 'Ringsted', 'Roskilde', 'Guldborgsund', 'Holbæk', 'Faxe', 'Slagelse']"
0d9627cf-cc3f-44ff-bb1a-89e173c205c0,Ulrik Nick Lassen,Ulrik Lassen,Liberal Alliance,Sjælland,"['Slagelse', 'Køge', 'Faxe', 'Roskilde', 'Greve', 'Ringsted', 'Lolland', 'Holbæk', 'Kalundborg', 'Vordingborg', 'Guldborgsund', 'Næstved']"
