Afstemningsområde,Partibogstav,Stemmetal,procent_22
1. Fuglebjerg,FG,20,0.4
1. Fuglebjerg,V,652,11.8
1. Fuglebjerg,ALT,100,1.8
1. Fuglebjerg,DD,598,10.8
1. Fuglebjerg,EL,154,2.8
1. Gram,UP,0,0.0
1. Gram,S,1002,29.7
1. Gram,R,42,1.2
1. Gram,K,138,4.1
1. Gram,NB,330,9.8
1. Gram,SF,146,4.3
1. Gram,LA,222,6.6
1. Gram,M,266,7.9
1. Gram,DF,134,4.0
1. Gram,FG,0,0.0
1. Gram,V,550,16.3
1. Gram,ALT,24,0.7
1. Gram,DD,430,12.8
1. Gram,EL,56,1.7
1. Gymnasiet,UP,10,0.1
1. Gymnasiet,S,5950,36.3
1. Gymnasiet,R,342,2.1
1. Gymnasiet,K,674,4.1
1. Gymnasiet,NB,904,5.5
1. Gymnasiet,SF,1320,8.0
1. Gymnasiet,LA,1184,7.2
1. Gymnasiet,M,1426,8.7
1. Gymnasiet,DF,458,2.8
1. Gymnasiet,FG,40,0.2
1. Gymnasiet,V,1540,9.4
1. Gymnasiet,ALT,352,2.1
1. Gymnasiet,DD,1406,8.6
1. Gymnasiet,EL,672,4.1
1. Hadsten Nord,UP,2,0.0
1. Hadsten Nord,S,2006,28.8
1. Hadsten Nord,R,302,4.3
1. Hadsten Nord,K,396,5.7
1. Hadsten Nord,NB,246,3.5
1. Hadsten Nord,SF,502,7.2
1. Hadsten Nord,LA,558,8.0
1. Hadsten Nord,M,590,8.5
1. Hadsten Nord,DF,172,2.5
1. Hadsten Nord,FG,22,0.3
1. Hadsten Nord,V,1202,17.3
1. Hadsten Nord,ALT,150,2.2
1. Hadsten Nord,DD,564,8.1
1. Hadsten Nord,EL,224,3.2
1. Haslev 01,UP,20,0.2
1. Haslev 01,S,2620,27.6
1. Haslev 01,R,152,1.6
1. Haslev 01,K,454,4.8
1. Haslev 01,NB,494,5.2
1. Haslev 01,SF,994,10.5
1. Haslev 01,LA,718,7.6
1. Haslev 01,M,1190,12.5
1. Haslev 01,DF,410,4.3
1. Haslev 01,FG,14,0.1
1. Haslev 01,V,1152,12.1
1. Haslev 01,ALT,136,1.4
1. Haslev 01,DD,898,9.5
1. Haslev 01,EL,202,2.1
1. Havdrup,UP,4,0.1
1. Havdrup,S,1666,27.0
1. Havdrup,R,122,2.0
1. Havdrup,K,294,4.8
1. Havdrup,NB,304,4.9
1. Havdrup,SF,518,8.4
1. Havdrup,LA,586,9.5
1. Havdrup,M,694,11.3
1. Havdrup,DF,318,5.2
1. Havdrup,FG,14,0.2
1. Havdrup,V,928,15.1
1. Havdrup,ALT,100,1.6
1. Havdrup,DD,504,8.2
1. Havdrup,EL,104,1.7
"1. Hedensted, St.Dalby Og Urlev",UP,6,0.1
"1. Hedensted, St.Dalby Og Urlev",S,2822,24.2
"1. Hedensted, St.Dalby Og Urlev",R,230,2.0
"1. Hedensted, St.Dalby Og Urlev",K,650,5.6
"1. Hedensted, St.Dalby Og Urlev",NB,494,4.2
"1. Hedensted, St.Dalby Og Urlev",SF,400,3.4
"1. Hedensted, St.Dalby Og Urlev",LA,1426,12.2
"1. Hedensted, St.Dalby Og Urlev",M,1346,11.5
"1. Hedensted, St.Dalby Og Urlev",DF,234,2.0
"1. Hedensted, St.Dalby Og Urlev",FG,10,0.1
"1. Hedensted, St.Dalby Og Urlev",V,2326,20.0
"1. Hedensted, St.Dalby Og Urlev",ALT,100,0.9
"1. Hedensted, St.Dalby Og Urlev",DD,1286,11.0
"1. Hedensted, St.Dalby Og Urlev",EL,170,1.5
1. Helsingør Hallen,UP,14,0.1
1. Helsingør Hallen,S,3874,31.7
1. Helsingør Hallen,R,520,4.3
1. Helsingør Hallen,K,786,6.4
1. Helsingør Hallen,NB,446,3.7
1. Helsingør Hallen,SF,1070,8.8
1. Helsingør Hallen,LA,944,7.7
1. Helsingør Hallen,M,1162,9.5
1. Helsingør Hallen,DF,290,2.4
1. Helsingør Hallen,FG,76,0.6
1. Helsingør Hallen,V,1028,8.4
1. Helsingør Hallen,ALT,610,5.0
1. Helsingør Hallen,DD,522,4.3
1. Helsingør Hallen,EL,838,6.9
1. Herlev Medborgerhus,UP,8,0.1
1. Herlev Medborgerhus,S,3610,33.4
1. Herlev Medborgerhus,R,468,4.3
1. Herlev Medborgerhus,K,512,4.7
1. Herlev Medborgerhus,NB,370,3.4
1. Herlev Medborgerhus,SF,1054,9.7
1. Herlev Medborgerhus,LA,728,6.7
1. Herlev Medborgerhus,M,1012,9.4
1. Herlev Medborgerhus,DF,386,3.6
1. Herlev Medborgerhus,FG,278,2.6
1. Herlev Medborgerhus,V,804,7.4
1. Herlev Medborgerhus,ALT,258,2.4
1. Herlev Medborgerhus,DD,492,4.6
1. Herlev Medborgerhus,EL,762,7.0
1. Herning,UP,40,0.1
1. Herning,S,7232,24.1
1. Herning,R,750,2.5
1. Herning,K,2068,6.9
1. Herning,NB,758,2.5
1. Herning,SF,1746,5.8
1. Herning,LA,3540,11.8
1. Herning,M,2678,8.9
1. Herning,DF,696,2.3
1. Herning,FG,188,0.6
1. Herning,V,5500,18.4
1. Herning,ALT,452,1.5
1. Herning,DD,2986,10.0
1. Herning,EL,842,2.8
1. Herstedøster Skole,UP,8,0.1
1. Herstedøster Skole,S,1786,28.7
1. Herstedøster Skole,R,254,4.1
1. Herstedøster Skole,K,322,5.2
1. Herstedøster Skole,NB,176,2.8
1. Herstedøster Skole,SF,906,14.6
1. Herstedøster Skole,LA,360,5.8
1. Herstedøster Skole,M,540,8.7
1. Herstedøster Skole,DF,210,3.4
1. Herstedøster Skole,FG,122,2.0
1. Herstedøster Skole,V,390,6.3
1. Herstedøster Skole,ALT,268,4.3
1. Herstedøster Skole,DD,200,3.2
1. Herstedøster Skole,EL,662,10.6
1. Holbæk Øst,UP,14,0.1
1. Holbæk Øst,S,3866,29.3
1. Holbæk Øst,R,432,3.3
1. Holbæk Øst,K,628,4.8
1. Holbæk Øst,NB,356,2.7
1. Holbæk Øst,SF,1722,13.0
1. Holbæk Øst,LA,916,6.9
1. Holbæk Øst,M,1568,11.9
1. Holbæk Øst,DF,360,2.7
1. Holbæk Øst,FG,216,1.6
1. Holbæk Øst,V,1656,12.5
1. Holbæk Øst,ALT,278,2.1
1. Holbæk Øst,DD,664,5.0
1. Holbæk Øst,EL,506,3.8
1. Holmegårdshallen,UP,20,0.3
1. Holmegårdshallen,S,1850,27.4
1. Holmegårdshallen,R,320,4.7
1. Holmegårdshallen,K,376,5.6
1. Holmegårdshallen,NB,186,2.8
1. Holmegårdshallen,SF,868,12.8
1. Holmegårdshallen,LA,454,6.7
1. Holmegårdshallen,M,708,10.5
1. Holmegårdshallen,DF,306,4.5
1. Holmegårdshallen,FG,76,1.1
1. Holmegårdshallen,V,652,9.6
1. Holmegårdshallen,ALT,278,4.1
1. Holmegårdshallen,DD,236,3.5
1. Holmegårdshallen,EL,404,6.0
1. Horne,UP,2,0.1
1. Horne,S,724,32.2
1. Horne,R,26,1.2
1. Horne,K,118,5.3
1. Horne,NB,144,6.4
1. Horne,SF,68,3.0
1. Horne,LA,144,6.4
1. Horne,M,142,6.3
1. Horne,DF,68,3.0
1. Horne,FG,4,0.2
1. Horne,V,300,13.4
1. Horne,ALT,22,1.0
1. Horne,DD,446,19.9
1. Horne,EL,26,1.2
1. Hovslund,UP,0,0.0
1. Hovslund,S,244,25.4
1. Hovslund,R,8,0.8
1. Hovslund,K,52,5.4
1. Hovslund,NB,114,11.9
1. Hovslund,SF,26,2.7
1. Hovslund,LA,60,6.2
1. Hovslund,M,90,9.4
1. Hovslund,DF,46,4.8
1. Hovslund,FG,4,0.4
1. Hovslund,V,148,15.4
1. Hovslund,ALT,2,0.2
1. Hovslund,DD,150,15.6
1. Hovslund,EL,8,0.8
1. Hundested,UP,16,0.1
1. Hundested,S,4198,33.5
1. Hundested,R,250,2.0
1. Hundested,K,406,3.2
1. Hundested,NB,560,4.5
1. Hundested,SF,1252,10.0
1. Hundested,LA,570,4.5
1. Hundested,M,1118,8.9
1. Hundested,DF,430,3.4
1. Hundested,FG,26,0.2
1. Hundested,V,1188,9.5
1. Hundested,ALT,682,5.4
1. Hundested,DD,930,7.4
1. Hundested,EL,894,7.1
