opstillingskreds_dagi,Opstillingskreds,Partibogstav,Stemmetal,procent_22
403577,Rudersdal,K,5893,11.3
403577,Rudersdal,LA,6551,12.6
403577,Rudersdal,M,6501,12.5
403577,Rudersdal,NB,1334,2.6
403577,Rudersdal,R,4097,7.9
403577,Rudersdal,S,8461,16.3
403577,Rudersdal,SF,3756,7.2
403577,Rudersdal,UP,39,0.1
403577,Rudersdal,V,9477,18.2
403578,Horsens,ALT,1042,1.9
403578,Horsens,DD,4906,9.1
403578,Horsens,DF,1477,2.7
403578,Horsens,EL,1905,3.5
403578,Horsens,FG,200,0.4
403578,Horsens,K,2634,4.9
403578,Horsens,LA,5438,10.1
403578,Horsens,M,4991,9.2
403578,Horsens,NB,2333,4.3
403578,Horsens,R,1541,2.9
403578,Horsens,S,16707,30.9
403578,Horsens,SF,3540,6.6
403578,Horsens,UP,47,0.1
403578,Horsens,V,7242,13.4
403579,Holstebro,ALT,387,1.1
403579,Holstebro,DD,4497,12.5
403579,Holstebro,DF,783,2.2
403579,Holstebro,EL,740,2.1
403579,Holstebro,FG,119,0.3
403579,Holstebro,K,1884,5.2
403579,Holstebro,LA,2990,8.3
403579,Holstebro,M,1884,5.2
403579,Holstebro,NB,940,2.6
403579,Holstebro,R,624,1.7
403579,Holstebro,S,9740,27.1
403579,Holstebro,SF,2399,6.7
403579,Holstebro,UP,35,0.1
403579,Holstebro,V,8916,24.8
403580,Ringkøbing,ALT,320,1.0
403580,Ringkøbing,DD,5681,17.4
403580,Ringkøbing,DF,615,1.9
403580,Ringkøbing,EL,452,1.4
403580,Ringkøbing,FG,40,0.1
403580,Ringkøbing,K,2140,6.6
403580,Ringkøbing,LA,2404,7.4
403580,Ringkøbing,M,2178,6.7
403580,Ringkøbing,NB,1205,3.7
403580,Ringkøbing,R,385,1.2
403580,Ringkøbing,S,7095,21.8
403580,Ringkøbing,SF,1578,4.8
403580,Ringkøbing,UP,27,0.1
403580,Ringkøbing,V,8492,26.0
403581,Hedensted,ALT,341,1.2
403581,Hedensted,DD,4066,14.1
403581,Hedensted,DF,785,2.7
403581,Hedensted,EL,532,1.8
403581,Hedensted,FG,45,0.2
403581,Hedensted,K,1264,4.4
403581,Hedensted,LA,2810,9.8
403581,Hedensted,M,2633,9.2
403581,Hedensted,NB,1714,6.0
403581,Hedensted,R,490,1.7
403581,Hedensted,S,7448,25.9
403581,Hedensted,SF,1210,4.2
403581,Hedensted,UP,26,0.1
403581,Hedensted,V,5411,18.8
403582,Skive,ALT,284,1.0
403582,Skive,DD,6142,21.7
403582,Skive,DF,579,2.0
403582,Skive,EL,516,1.8
403582,Skive,FG,59,0.2
403582,Skive,K,1604,5.7
403582,Skive,LA,1802,6.4
403582,Skive,M,1489,5.3
403582,Skive,NB,838,3.0
403582,Skive,R,378,1.3
403582,Skive,S,8868,31.3
403582,Skive,SF,1783,6.3
403582,Skive,UP,25,0.1
